Organization,Repository,Language,Selected,Reasons for exclusion
zloirock,core-js,JavaScript,TRUE,
maxwellito,vivus,JavaScript,TRUE,
grab,front-end-guide,JavaScript,FALSE,contributing size < 0.5kB.
marcuswestin,store.js,JavaScript,FALSE,contributing is missing.
LeCoupa,awesome-cheatsheets,JavaScript,FALSE,contributing is missing.
NodeRedis,node-redis,JavaScript,TRUE,
SBoudrias,Inquirer.js,JavaScript,FALSE,contributing is missing.
remoteintech,remote-jobs,JavaScript,TRUE,
lllyasviel,style2paints,JavaScript,FALSE,contributing is missing.
dcloudio,mui,JavaScript,FALSE,contributing is missing.
auth0,node-jsonwebtoken,JavaScript,FALSE,contributing is missing.
adobe-webplatform,Snap.svg,JavaScript,FALSE,"contributing size < 0.5kB.
contributing is not in Markdown."
nodemailer,nodemailer,JavaScript,TRUE,
EastWorld,wechat-app-mall,JavaScript,FALSE,contributing is missing.
haizlin,fe-interview,JavaScript,FALSE,contributing is not in English.
feathersjs,feathers,JavaScript,TRUE,
sass,sass,JavaScript,TRUE,
JedWatson,classnames,JavaScript,TRUE,
knex,knex,JavaScript,TRUE,
SimulatedGREG,electron-vue,JavaScript,FALSE,contributing is missing.
hapijs,hapi,JavaScript,FALSE,contributing is missing.
SortableJS,Vue.Draggable,JavaScript,TRUE,
wulkano,Kap,JavaScript,FALSE,contributing size < 0.5kB.
requirejs,requirejs,JavaScript,FALSE,contributing size < 0.5kB.
MichMich,MagicMirror,JavaScript,TRUE,
node-inspector,node-inspector,JavaScript,TRUE,
cubiq,iscroll,JavaScript,FALSE,contributing size < 0.5kB.
testing-library,react-testing-library,JavaScript,TRUE,
janpaepke,ScrollMagic,JavaScript,TRUE,
selectize,selectize.js,JavaScript,FALSE,contributing is missing.
redux-form,redux-form,JavaScript,TRUE,
MithrilJS,mithril.js,JavaScript,TRUE,
netlify,netlify-cms,JavaScript,TRUE,
gionkunz,chartist-js,JavaScript,TRUE,
KaTeX,KaTeX,JavaScript,TRUE,
infinitered,reactotron,JavaScript,TRUE,
uxsolutions,bootstrap-datepicker,JavaScript,TRUE,
pomber,git-history,JavaScript,FALSE,contributing is missing.
ryanhanwu,How-To-Ask-Questions-The-Smart-Way,JavaScript,FALSE,contributing is missing.
badges,shields,JavaScript,TRUE,
VerbalExpressions,JSVerbalExpressions,JavaScript,FALSE,contributing is missing.
STRML,react-grid-layout,JavaScript,FALSE,contributing is missing.
scottjehl,Respond,JavaScript,FALSE,contributing is missing.
kamranahmedse,driver.js,JavaScript,FALSE,contributing is missing.
sweetalert2,sweetalert2,JavaScript,FALSE,contributing is missing.
reduxjs,redux-devtools,JavaScript,FALSE,contributing is missing.
Semantic-Org,Semantic-UI-React,JavaScript,TRUE,
ptmt,react-native-macos,JavaScript,TRUE,
aurelia,framework,JavaScript,TRUE,
jwagner,smartcrop.js,JavaScript,TRUE,
artf,grapesjs,JavaScript,TRUE,
DrkSephy,es6-cheatsheet,JavaScript,FALSE,contributing is missing.
http-party,node-http-proxy,JavaScript,FALSE,contributing is missing.
karma-runner,karma,JavaScript,TRUE,
jaredreich,pell,JavaScript,FALSE,contributing is missing.
tj,co,JavaScript,FALSE,contributing is missing.
shelljs,shelljs,JavaScript,TRUE,
BrainJS,brain.js,JavaScript,TRUE,
BrowserSync,browser-sync,JavaScript,TRUE,
greensock,GSAP,JavaScript,FALSE,contributing is missing.
Shopify,dashing,JavaScript,TRUE,
fingerprintjs,fingerprintjs2,JavaScript,FALSE,contributing is missing.
openstf,stf,JavaScript,TRUE,
krisk,Fuse,JavaScript,TRUE,
pikapkg,snowpack,JavaScript,TRUE,
dimsemenov,Magnific-Popup,JavaScript,FALSE,contributing is missing.
akveo,blur-admin,JavaScript,FALSE,contributing is missing.
gpujs,gpu.js,JavaScript,TRUE,
nondanee,UnblockNeteaseMusic,JavaScript,FALSE,contributing is missing.
thomaspark,bootswatch,JavaScript,FALSE,contributing is missing.
1995parham,github-do-not-ban-us,JavaScript,FALSE,contributing is missing.
plotly,plotly.js,JavaScript,TRUE,
gruntjs,grunt,JavaScript,FALSE,contributing size < 0.5kB.
browsh-org,browsh,JavaScript,FALSE,contributing is missing.
amark,gun,JavaScript,FALSE,contributing is missing.
erikras,react-redux-universal-hot-example,JavaScript,TRUE,
bootstrap-vue,bootstrap-vue,JavaScript,TRUE,
tannerlinsley,react-table,JavaScript,TRUE,
qianguyihao,Web,JavaScript,FALSE,contributing is missing.
motdotla,dotenv,JavaScript,TRUE,
appium,appium,JavaScript,TRUE,
Tencent,vConsole,JavaScript,FALSE,contributing is missing.
docker,kitematic,JavaScript,TRUE,
gaearon,react-hot-loader,JavaScript,TRUE,
paperjs,paper.js,JavaScript,FALSE,contributing is missing.
rwaldron,johnny-five,JavaScript,TRUE,
you-dont-need,You-Dont-Need-Lodash-Underscore,JavaScript,FALSE,contributing is missing.
aframevr,aframe,JavaScript,TRUE,
louischatriot,nedb,JavaScript,FALSE,contributing is missing.
zalmoxisus,redux-devtools-extension,JavaScript,FALSE,contributing is missing.
phobal,ivideo,JavaScript,FALSE,contributing is missing.
PanJiaChen,vue-admin-template,JavaScript,FALSE,contributing is missing.
nhn,tui.editor,JavaScript,TRUE,
Automattic,wp-calypso,JavaScript,TRUE,
RelaxedJS,ReLaXed,JavaScript,FALSE,contributing is missing.
emotion-js,emotion,JavaScript,TRUE,
NodeBB,NodeBB,JavaScript,TRUE,
Tencent,omi,JavaScript,FALSE,contributing is missing.
pandao,editor.md,JavaScript,FALSE,contributing is missing.
copy,v86,JavaScript,FALSE,contributing is missing.
pagekit,vue-resource,JavaScript,FALSE,contributing is missing.
segmentio,evergreen,JavaScript,TRUE,
ai,nanoid,JavaScript,FALSE,contributing is missing.
jquery,jquery-mobile,JavaScript,TRUE,
mozilla,send,JavaScript,FALSE,contributing is missing.
restify,node-restify,JavaScript,TRUE,
jquery-validation,jquery-validation,JavaScript,TRUE,
alpinejs,alpine,JavaScript,FALSE,contributing is missing.
jgraph,drawio-desktop,JavaScript,FALSE,contributing is missing.
mattboldt,typed.js,JavaScript,TRUE,
myliang,x-spreadsheet,JavaScript,FALSE,contributing is missing.
knockout,knockout,JavaScript,FALSE,contributing is missing.
javve,list.js,JavaScript,FALSE,contributing is missing.
nock,nock,JavaScript,TRUE,
faressoft,terminalizer,JavaScript,FALSE,contributing is missing.
dangrossman,daterangepicker,JavaScript,FALSE,contributing is missing.
Netflix,falcor,JavaScript,FALSE,contributing is missing.
coryhouse,react-slingshot,JavaScript,TRUE,
uuidjs,uuid,JavaScript,TRUE,
codesandbox,codesandbox-client,JavaScript,TRUE,
summernote,summernote,JavaScript,TRUE,
brix,crypto-js,JavaScript,FALSE,contributing size < 0.5kB.
answershuto,learnVue,JavaScript,FALSE,contributing is missing.
leanote,leanote,JavaScript,FALSE,contributing is missing.
pqina,filepond,JavaScript,FALSE,contributing is missing.
MoePlayer,DPlayer,JavaScript,FALSE,contributing is missing.
peachananr,onepage-scroll,JavaScript,FALSE,contributing is missing.
vuejs-templates,webpack,JavaScript,FALSE,contributing is missing.
jquense,yup,JavaScript,FALSE,contributing is missing.
thx,RAP,JavaScript,FALSE,contributing is missing.
vuejs,vue-hackernews-2.0,JavaScript,FALSE,contributing is missing.
stylus,stylus,JavaScript,TRUE,
semantic-release,semantic-release,JavaScript,TRUE,
davezuko,react-redux-starter-kit,JavaScript,TRUE,
wenzhixin,bootstrap-table,JavaScript,TRUE,
oliver-moran,jimp,JavaScript,TRUE,
PatrickJS,starter,JavaScript,TRUE,
CodeSeven,toastr,JavaScript,FALSE,contributing is missing.
node-red,node-red,JavaScript,TRUE,
stephentian,33-js-concepts,JavaScript,FALSE,contributing is missing.
nightwatchjs,nightwatch,JavaScript,TRUE,
liabru,matter-js,JavaScript,TRUE,
visionmedia,supertest,JavaScript,FALSE,contributing is missing.
ccampbell,mousetrap,JavaScript,FALSE,contributing is missing.
localtunnel,localtunnel,JavaScript,FALSE,contributing is missing.
petehunt,webpack-howto,JavaScript,FALSE,contributing is missing.
josdejong,mathjs,JavaScript,TRUE,
GoogleChromeLabs,ndb,JavaScript,TRUE,
imakewebthings,waypoints,JavaScript,TRUE,
webpack-contrib,webpack-bundle-analyzer,JavaScript,TRUE,
wangfupeng1988,wangEditor,JavaScript,FALSE,contributing is missing.
unbug,codelf,JavaScript,FALSE,contributing is missing.
scottjehl,picturefill,JavaScript,TRUE,
markdown-it,markdown-it,JavaScript,TRUE,
bailicangdu,node-elm,JavaScript,FALSE,contributing is missing.
karpathy,convnetjs,JavaScript,FALSE,contributing is missing.
reactide,reactide,JavaScript,FALSE,contributing is missing.
antonmedv,fx,JavaScript,FALSE,contributing is missing.
http-party,http-server,JavaScript,FALSE,contributing is missing.
aFarkas,html5shiv,JavaScript,FALSE,contributing is missing.
marko-js,marko,JavaScript,TRUE,
purifycss,purifycss,JavaScript,FALSE,contributing is missing.
outline,outline,JavaScript,FALSE,contributing is missing.
qrohlf,trianglify,JavaScript,TRUE,
moment,luxon,JavaScript,TRUE,
graphql,dataloader,JavaScript,TRUE,
addyosmani,backbone-fundamentals,JavaScript,FALSE,contributing is missing.
commitizen,cz-cli,JavaScript,TRUE,
vercel,micro,JavaScript,FALSE,contributing is missing.
luin,medis,JavaScript,FALSE,contributing is missing.
spencermountain,compromise,JavaScript,FALSE,contributing is missing.
reactstrap,reactstrap,JavaScript,TRUE,
cmiscm,leonsans,JavaScript,FALSE,contributing is missing.
sdelements,lets-chat,JavaScript,TRUE,
chjj,blessed,JavaScript,FALSE,contributing is missing.
mdx-js,mdx,JavaScript,FALSE,contributing is not in Markdown.
jxnblk,mdx-deck,JavaScript,TRUE,
jaredpalmer,razzle,JavaScript,TRUE,
GoogleChrome,workbox,JavaScript,TRUE,
ether,etherpad-lite,JavaScript,TRUE,
gchq,CyberChef,JavaScript,TRUE,
matthieua,WOW,JavaScript,FALSE,contributing is missing.
afaqurk,linux-dash,JavaScript,FALSE,contributing is missing.
NaturalNode,natural,JavaScript,FALSE,contributing size < 0.5kB.
typicode,hotel,JavaScript,FALSE,contributing is missing.
askmike,gekko,JavaScript,TRUE,
xiandanin,magnetW,JavaScript,FALSE,contributing is missing.
GoogleChromeLabs,carlo,JavaScript,TRUE,
Automattic,kue,JavaScript,FALSE,contributing is missing.
graphile,postgraphile,JavaScript,TRUE,
apexcharts,apexcharts.js,JavaScript,TRUE,
FredrikNoren,ungit,JavaScript,TRUE,
jacomyal,sigma.js,JavaScript,FALSE,contributing is missing.
aui,art-template,JavaScript,FALSE,contributing is missing.
keeweb,keeweb,JavaScript,TRUE,
davidshimjs,qrcodejs,JavaScript,FALSE,contributing is missing.
leecade,react-native-swiper,JavaScript,FALSE,contributing is missing.
ethereum,web3.js,JavaScript,FALSE,contributing is missing.
d2-projects,d2-admin,JavaScript,FALSE,contributing is missing.
ruanyf,webpack-demos,JavaScript,FALSE,contributing is missing.
webrtc,samples,JavaScript,TRUE,
withspectrum,spectrum,JavaScript,FALSE,contributing is missing.
arasatasaygin,is.js,JavaScript,TRUE,
jantimon,html-webpack-plugin,JavaScript,FALSE,contributing is missing.
OptimalBits,bull,JavaScript,FALSE,contributing size < 0.5kB.
snapappointments,bootstrap-select,JavaScript,TRUE,
ksky521,nodeppt,JavaScript,FALSE,contributing is missing.
guillaumepotier,Parsley.js,JavaScript,TRUE,
haltu,muuri,JavaScript,TRUE,
mholt,PapaParse,JavaScript,FALSE,contributing is missing.
visionmedia,debug,JavaScript,FALSE,contributing is missing.
liriliri,eruda,JavaScript,TRUE,
muaz-khan,WebRTC-Experiment,JavaScript,FALSE,contributing is missing.
uncss,uncss,JavaScript,FALSE,contributing is missing.
react-static,react-static,JavaScript,TRUE,
cnodejs,nodeclub,JavaScript,FALSE,contributing is missing.
lokesh,color-thief,JavaScript,FALSE,contributing is missing.
aksonov,react-native-router-flux,JavaScript,TRUE,
c3js,c3,JavaScript,TRUE,
trufflesuite,truffle,JavaScript,TRUE,
PavelDoGreat,WebGL-Fluid-Simulation,JavaScript,FALSE,contributing is missing.
gabrielbull,react-desktop,JavaScript,FALSE,contributing size < 0.5kB.
senchalabs,connect,JavaScript,FALSE,contributing is missing.
firebase,functions-samples,JavaScript,TRUE,
hacksalot,HackMyResume,JavaScript,TRUE,
NUKnightLab,TimelineJS,JavaScript,FALSE,contributing is missing.
brianc,node-postgres,JavaScript,FALSE,contributing is missing.
rjsf-team,react-jsonschema-form,JavaScript,TRUE,
maxogden,art-of-node,JavaScript,FALSE,contributing is missing.
casesandberg,react-color,JavaScript,TRUE,
mongodb,node-mongodb-native,JavaScript,TRUE,
carhartl,jquery-cookie,JavaScript,TRUE,
modood,Administrative-divisions-of-China,JavaScript,FALSE,contributing is missing.
bvaughn,react-window,JavaScript,FALSE,contributing is missing.
akiran,react-slick,JavaScript,TRUE,
Netflix,pollyjs,JavaScript,TRUE,
react-toolbox,react-toolbox,JavaScript,FALSE,contributing is missing.
facebookexperimental,Recoil,JavaScript,TRUE,
Laverna,laverna,JavaScript,FALSE,contributing is missing.
angular,protractor,JavaScript,TRUE,
zadam,trilium,JavaScript,FALSE,contributing is missing.
vega,vega,JavaScript,TRUE,
eduardolundgren,tracking.js,JavaScript,FALSE,contributing is missing.
olistic,warriorjs,JavaScript,TRUE,
goldbergyoni,javascript-testing-best-practices,JavaScript,FALSE,contributing is missing.
erikras,ducks-modular-redux,JavaScript,FALSE,contributing is missing.
downshift-js,downshift,JavaScript,TRUE,
addyosmani,critical,JavaScript,TRUE,
socketio,socket.io-client,JavaScript,FALSE,contributing is missing.
FormidableLabs,spectacle,JavaScript,TRUE,
MarshallOfSound,Google-Play-Music-Desktop-Player-UNOFFICIAL-,JavaScript,TRUE,
automerge,automerge,JavaScript,FALSE,contributing is missing.
mozilla,BrowserQuest,JavaScript,FALSE,contributing is missing.
cube-js,cube.js,JavaScript,TRUE,
bpampuch,pdfmake,JavaScript,FALSE,contributing size < 0.5kB.
marmelab,gremlins.js,JavaScript,TRUE,
shipshapecode,shepherd,JavaScript,TRUE,
jshint,jshint,JavaScript,TRUE,
ejci,favico.js,JavaScript,FALSE,contributing is missing.
clauderic,react-sortable-hoc,JavaScript,FALSE,contributing is missing.
checkly,puppeteer-recorder,JavaScript,TRUE,
streamaserver,streama,JavaScript,TRUE,
DevExpress,testcafe,JavaScript,TRUE,
tuupola,lazyload,JavaScript,FALSE,contributing is missing.
nhn,tui.calendar,JavaScript,TRUE,
shipshapecode,tether,JavaScript,TRUE,
adamwdraper,Numeral-js,JavaScript,FALSE,contributing is missing.
typekit,webfontloader,JavaScript,TRUE,
desandro,imagesloaded,JavaScript,TRUE,
OpenZeppelin,openzeppelin-contracts,JavaScript,TRUE,
relax,relax,JavaScript,FALSE,contributing is missing.
